-224,-224
-224,-223
-224,-222
-224,-221
-224,-220
-224,-219
-224,-218
-224,-217
-224,-216
-224,-215
-224,-8
-224,-7
-224,-6
-224,-5
-224,-4
-224,-3
-224,-2
-224,-1
-224,1
-224,2
-224,3
-224,4
-224,5
-224,6
-224,7
-224,8
-224,9
-224,216
-224,217
-224,218
-224,219
-224,220
-224,221
-224,222
-224,223
-223,1
-223,2
-223,3
-223,4
-223,5
-223,6
-223,7
-223,8
-223,215
-223,216
-223,217
-223,218
-223,219
-223,220
-223,221
-223,222
-223,223
-222,1
-222,2
-222,3
-222,4
-222,5
-222,6
-222,7
-222,215
-222,216
-222,217
-222,218
-222,219
-222,220
-222,221
-222,222
-222,223
-221,1
-221,2
-221,3
-221,4
-221,5
-221,6
-221,215
-221,216
-221,217
-221,218
-221,219
-221,220
-221,221
-221,222
-221,223
-220,1
-220,2
-220,3
-220,4
-220,5
-220,215
-220,216
-220,217
-220,218
-220,219
-220,220
-220,221
-220,222
-220,223
-219,1
-219,2
-219,3
-219,4
-219,215
-219,216
-219,217
-219,218
-219,219
-219,220
-219,221
-219,222
-219,223
-218,1
-218,2
-218,3
-218,214
-218,215
-218,216
-218,217
-218,218
-218,219
-218,220
-218,221
-218,222
-218,223
-217,1
-217,2
-217,214
-217,215
-217,216
-217,217
-217,218
-217,219
-217,220
-217,221
-217,222
-217,223
-216,1
-216,214
-216,215
-216,216
-216,217
-216,218
-216,219
-216,220
-216,221
-216,222
-216,223
-215,214
-215,215
-215,216
-215,217
-215,218
-215,219
-215,220
-215,221
-215,222
-215,223
-214,214
-214,215
-214,216
-214,217
-214,218
-214,219
-214,220
-214,221
-214,222
-214,223
-213,213
-213,215
-213,216
-213,217
-213,219
-213,220
-213,221
-213,222
-212,212
-212,215
-212,216
-212,218
-212,219
-212,220
-212,221
-211,211
-211,215
-211,218
-211,219
-211,220
-210,210
-210,217
-210,218
-210,219
-209,209
-209,217
-209,218
-208,208
-208,216
-208,217
-207,207
-207,216
-206,206
-206,215
-205,205
-204,204
-203,203
-202,202
-201,201
-200,200
-199,199
-198,198
-197,197
-196,196
-195,195
-194,194
-193,193
